;massa_A;
t;x;y
30.858;-0.115;8.706E-2
30.891;-7.517E-2;8.437E-2
30.925;-3.386E-2;8.156E-2
30.958;8.472E-3;7.788E-2
30.991;5.053E-2;7.275E-2
31.025;9.265E-2;7.224E-2
31.058;0.134;7.530E-2
31.091;0.174;7.766E-2
31.125;0.213;8.054E-2
31.158;0.251;8.696E-2
31.191;0.285;9.579E-2
31.225;0.319;0.104
31.258;0.350;0.110
31.291;0.377;0.113
31.325;0.402;0.116
31.358;0.424;0.123
31.391;0.441;0.131
31.425;0.455;0.136
31.458;0.463;0.139
31.491;0.469;0.140
31.525;0.470;0.141
31.558;0.472;0.142
31.591;0.469;0.140
31.624;0.463;0.136
31.658;0.452;0.130
31.691;0.437;0.127
31.724;0.418;0.126
31.758;0.397;0.123
31.791;0.374;0.116
31.824;0.348;0.107
31.858;0.318;9.771E-2
31.891;0.285;9.069E-2
31.924;0.248;8.528E-2
31.958;0.210;7.998E-2
31.991;0.169;7.666E-2
32.024;0.127;7.511E-2
32.058;8.565E-2;7.590E-2
32.091;4.348E-2;7.728E-2
32.124;1.939E-3;7.748E-2
32.158;-3.957E-2;7.655E-2
32.191;-7.817E-2;7.821E-2
32.224;-0.117;8.726E-2
32.258;-0.154;9.720E-2
32.291;-0.189;0.105
32.324;-0.223;0.110
32.358;-0.257;0.117
32.391;-0.285;0.126
32.424;-0.312;0.134
32.458;-0.339;0.140
32.491;-0.358;0.146
32.524;-0.374;0.153
32.557;-0.384;0.161
32.591;-0.391;0.166
32.624;-0.396;0.168
32.657;-0.397;0.166
32.691;-0.397;0.164
32.724;-0.394;0.161
32.757;-0.387;0.158
32.791;-0.374;0.154
32.824;-0.358;0.148
32.857;-0.338;0.141
32.891;-0.316;0.135
32.924;-0.290;0.128
32.957;-0.262;0.121
32.991;-0.232;0.112
33.024;-0.198;0.103
33.057;-0.163;9.387E-2
33.091;-0.123;8.710E-2
33.124;-8.435E-2;8.432E-2
33.157;-4.263E-2;8.175E-2
33.191;-5.213E-4;7.803E-2
33.224;3.949E-2;7.365E-2
33.257;8.118E-2;7.199E-2
33.291;0.122;7.480E-2
33.324;0.161;7.748E-2
33.357;0.200;7.945E-2
33.391;0.237;8.410E-2
