;massa_A;
t;x;y
19.394;0.304;0.102
19.428;0.289;0.100
19.461;0.274;9.693E-2
19.494;0.255;9.307E-2
19.527;0.234;9.106E-2
19.561;0.211;8.568E-2
19.594;0.186;8.178E-2
19.627;0.158;7.951E-2
19.661;0.131;7.588E-2
19.694;0.104;7.428E-2
19.727;7.716E-2;7.442E-2
19.761;4.865E-2;7.296E-2
19.794;1.708E-2;7.223E-2
19.827;-1.425E-2;7.244E-2
19.861;-4.253E-2;7.528E-2
19.894;-6.938E-2;7.902E-2
19.927;-9.408E-2;8.212E-2
19.961;-0.119;8.324E-2
19.994;-0.145;8.652E-2
20.027;-0.169;9.174E-2
20.061;-0.191;9.471E-2
20.094;-0.207;9.785E-2
20.127;-0.224;0.102
20.161;-0.239;0.105
20.194;-0.251;0.108
20.227;-0.261;0.111
20.261;-0.269;0.112
20.294;-0.273;0.112
20.327;-0.273;0.112
20.361;-0.271;0.112
20.394;-0.269;0.112
20.427;-0.262;0.110
20.461;-0.254;0.108
20.494;-0.241;0.105
20.527;-0.226;0.102
20.561;-0.210;9.789E-2
20.594;-0.191;9.292E-2
20.627;-0.171;8.991E-2
20.661;-0.148;8.588E-2
20.694;-0.125;8.333E-2
20.727;-9.999E-2;8.158E-2
20.761;-7.290E-2;7.810E-2
20.794;-4.654E-2;7.320E-2
20.827;-1.931E-2;7.141E-2
20.860;1.039E-2;7.175E-2
20.894;3.962E-2;7.204E-2
20.927;6.632E-2;7.272E-2
20.960;9.357E-2;7.273E-2
20.994;0.123;7.453E-2
21.027;0.150;7.851E-2
21.060;0.174;8.073E-2
21.094;0.196;8.256E-2
21.127;0.219;8.674E-2
21.160;0.240;9.010E-2
21.194;0.258;9.262E-2
21.227;0.275;9.713E-2
21.260;0.290;9.906E-2
21.294;0.301;0.101
21.327;0.310;0.104
21.360;0.316;0.106
21.394;0.322;0.107
21.427;0.326;0.107
21.460;0.324;0.106
21.494;0.319;0.106
21.527;0.311;0.104
21.560;0.302;0.102
21.594;0.291;9.992E-2
21.627;0.279;9.738E-2
21.660;0.265;9.384E-2
21.694;0.246;9.196E-2
21.727;0.225;8.916E-2
21.760;0.203;8.470E-2
21.794;0.180;8.191E-2
21.827;0.157;7.964E-2
21.860;0.131;7.587E-2
21.893;0.104;7.436E-2
21.927;7.828E-2;7.468E-2
21.960;5.158E-2;7.324E-2
21.993;2.195E-2;7.226E-2
22.027;-6.278E-3;7.234E-2
22.060;-3.297E-2;7.457E-2
22.093;-5.803E-2;7.810E-2
22.127;-8.350E-2;8.043E-2
22.160;-0.108;8.231E-2
22.193;-0.132;8.418E-2
22.227;-0.154;8.927E-2
22.260;-0.175;9.233E-2
22.293;-0.190;9.440E-2
22.327;-0.205;9.711E-2
22.360;-0.221;0.102
22.393;-0.235;0.104
22.427;-0.243;0.107
22.460;-0.249;0.110
22.493;-0.253;0.109
22.527;-0.254;0.108
22.560;-0.253;0.109
22.593;-0.251;0.110
22.627;-0.249;0.109
22.660;-0.242;0.107
22.693;-0.230;0.103
22.727;-0.216;9.946E-2
22.760;-0.203;9.741E-2
22.793;-0.187;9.437E-2
22.826;-0.168;9.051E-2
22.860;-0.147;8.774E-2
22.893;-0.128;8.369E-2
22.926;-0.105;8.174E-2
22.960;-7.909E-2;8.136E-2
22.993;-5.385E-2;7.799E-2
23.026;-2.979E-2;7.315E-2
